0,1,2,3
勝率,4.25,2連対率,19.70%
3連対率,35.41%,出走回数,96回
優出回数,0回,優勝回数,0回
平均スタートタイミング,0.20,フライング回数,1回
出遅れ回数（選手責任）,0回,能力指数,46
1着,8.3%（8回）,2着,11.5%（11回）
3着,15.6%（15回）,4着,25.0%（24回）
5着,17.7%（17回）,6着,20.8%（20回）
